SER_NUM	FROM_FIRST_TIME	BEFORE_US	TOT_MATCHED	BEFORE_US_PROMILE	MATCHED_FLG
1	0	22	30100	0.7	1
1	0	19	3473	5.5	1
2	100	26	3526	7.4	0
3	120	45	3526	12.8	0
4	180	15	3557	4.2	0
5	200	21	3557	5.9	0
6	210	15	3557	4.2	0
7	221	41	3557	11.5	0
8	242	15	3557	4.2	0
9	251	15	3557	4.2	1
1	0	35	10844	3.2	0
2	70	41	11070	3.7	0
3	90	15	11070	1.4	0
4	140	15	11094	1.4	0
5	160	15	11094	1.4	0
6	170	22	11094	2.0	0
7	180	37	11094	3.3	0
8	200	39	11320	3.4	0
9	230	43	11324	3.8	0
10	280	30	11418	2.6	0
11	310	34	11418	3.0	0
12	340	41	11427	3.6	0
1	0	48	4323	11.1	0
1	0	21	12562	1.7	0
2	10	47	12592	3.7	0
3	40	43	12794	3.4	0
4	70	43	12818	3.4	0
5	80	43	12818	3.4	0
6	90	41	12818	3.2	0
1	0	34	10871	3.1	0
2	10	49	10884	4.5	0
3	50	34	11007	3.1	0
4	131	30	11071	2.7	0
1	0	47	5720	8.2	0
2	70	42	6119	6.9	0
3	80	42	6119	6.9	0
4	100	41	6159	6.7	0
5	131	22	6163	3.6	0
6	171	22	6196	3.6	1
7	201	37	6281	5.9	1
8	311	31	6419	4.8	0
1	0	34	3067	11.1	0
2	41	41	3067	13.4	0
3	181	43	3067	14.0	0
1	0	25	3457	7.2	0
2	10	21	3457	6.1	0
3	20	25	3457	7.2	0
4	152	41	3587	11.4	0
5	202	20	3587	5.6	0
6	272	15	3605	4.2	0
7	282	37	3605	10.3	0
1	0	43	6315	6.8	0
2	40	46	6315	7.3	0
3	50	43	6315	6.8	0
4	151	47	6608	7.1	0
5	201	43	6616	6.5	0
6	251	47	6632	7.1	0
7	301	41	6632	6.2	0
1	0	48	27771	1.7	1
2	230	20	28989	0.7	0
3	243	24	29029	0.8	0
4	267	40	29099	1.4	0
5	278	42	29275	1.4	0
1	0	22	5040	4.4	0
2	196	38	5189	7.3	0
3	249	15	5199	2.9	0
1	0	30	3944	7.6	0
2	20	41	3944	10.4	0
3	60	19	3944	4.8	0
4	70	41	3944	10.4	0
5	191	44	3946	11.2	0
6	212	18	3946	4.6	0
7	252	30	4078	7.4	0
8	263	30	4078	7.4	1
9	384	30	4400	6.8	0
1	0	30	4138	7.2	0
2	20	30	4138	7.2	0
3	50	38	4138	9.2	0
4	60	35	4138	8.5	0
5	90	31	4157	7.5	0
6	160	45	4270	10.5	0
7	190	30	4287	7.0	0
8	221	30	4287	7.0	0
9	241	39	4287	9.1	0
1	0	30	10737	2.8	0
2	30	41	10746	3.8	0
3	70	21	10869	1.9	0
4	111	30	10869	2.8	0
5	131	43	10869	4.0	0
6	232	38	10976	3.5	0
1	0	22	13383	1.6	0
2	40	41	13396	3.1	0
3	232	6	13457	0.4	0
4	282	8	13476	0.6	0
1	0	11	3821	2.9	0
2	31	23	3878	5.9	0
3	181	40	3976	10.1	0
4	231	42	3986	10.5	0
5	281	42	3986	10.5	0
6	291	15	3986	3.8	0
7	332	20	3986	5.0	0
8	392	42	3986	10.5	0
1	0	39	4244	9.2	0
2	21	38	4244	9.0	0
3	51	38	4244	9.0	0
4	61	15	4244	3.5	0
5	101	17	4244	4.0	1
1	0	43	7768	5.5	0
2	20	43	7768	5.5	0
3	50	24	7768	3.1	0
4	80	31	7768	4.0	0
5	120	15	7778	1.9	0
6	150	25	7778	3.2	0
1	0	41	7359	5.6	0
2	41	37	7375	5.0	0
3	61	35	7378	4.7	0
4	91	35	7382	4.7	0
1	0	40	4080	9.8	0
1	0	14	3025	4.6	0
2	40	12	3053	3.9	1
3	120	42	3164	13.3	0
4	170	45	3204	14.0	0
5	180	42	3204	13.1	0
